,estimate,variance,stderr,LCL,UCL,measure
0,0.00050730597577678446,1.5985129607534833e-07,0.00039981407688492948,-0.00027631521542980546,0.0012909271669833745,rd
1,0.00062802308521471692,4.3069425979934154e-07,0.00065627300706286979,-0.0006582483726543084,0.0019142945430837422,rd
2,0.0076312475023319381,1.6543802943647187e-05,0.0040674073982879056,-0.00034072450876412082,0.015603219513427996,rd
3,0.0079366187973560695,2.6624545250157156e-05,0.0051598977945456594,-0.0021765950438610779,0.018049832638573217,rd
4,0.0067415348958410042,3.5227063844128206e-05,0.0059352391564391239,-0.0048913200904115699,0.018374389882093577,rd
5,0.0081413839429839187,5.143342064274656e-05,0.0071717097433419991,-0.0059149088615413938,0.022197676747509231,rd
0,0.01039999999999996,1.0291901017900192e-06,0.0010144900698331252,0.0084116360004535089,0.01238836399954641,risk1
1,0.020900000000000016,2.0463142478973174e-06,0.0014304944068039265,0.01809628248257833,0.023703717517421702,risk1
2,0.037692916067686537,1.6724127094069309e-05,0.0040895142858375384,0.029677615353182921,0.045708216782190156,risk1
3,0.04891264364555524,2.5245432320645943e-05,0.0050244832889209555,0.039064837358346809,0.058760449932763671,risk1
4,0.059524223456049442,3.2238629356284541e-05,0.0056779071281841641,0.048395729977245235,0.070652716934853657,risk1
5,0.078058276157885839,4.6191268110613923e-05,0.0067964158282593275,0.064737545910539596,0.091379006405232083,risk1
0,0.0098926940242231743,1.0895923882377616e-06,0.0010438354220075891,0.0078468141913011318,0.011938573857145217,risk0
1,0.020271976914785297,2.3555329220428094e-06,0.0015347745508845297,0.017263874070662981,0.023280079758907612,risk0
2,0.030061668565354596,3.6935395295045581e-06,0.001921858353132342,0.026294895409827747,0.033828441720881446,risk0
3,0.04097602484819917,5.1713208654529218e-06,0.0022740538396117454,0.036518961223655125,0.045433088472743216,risk0
4,0.052782688560208436,6.6956573506754171e-06,0.0025875968292366214,0.047711091968394619,0.057854285152022254,risk0
5,0.069916892214901924,8.854550088333859e-06,0.0029756596055889625,0.064084706557696894,0.075749077872106954,risk0
